Country,Province,City,Pop.,ABBR,Rent,Total COL,Sal,QOL,Prov. ABBR
Belgium,Brussels,Anderlecht,"125,883",BE,1033,1889,3040,76,
Belgium,Flanders,Antwerp,"542,417",BE,909,1818,2918,91,
Belgium,Flanders,Bruges,"119,748",BE,1005,1868,2486,82,
Belgium,Brussels,Brussels,"195,546",BE,1133,2028,3458,91,
Belgium,Wallonia,Charleroi,"203,950",BE,928,1718,2345,87,
Belgium,Flanders,Ghent,"269,191",BE,953,1811,2819,87,
Belgium,Wallonia,Liège,"194,994",BE,812,1599,3134,74,
Belgium,Flemish,Leuven,"103,868",BE,1100,1867,3283,91,
Belgium,Wallonia,Namur,"114,007",BE,801,1588,2322,73,
Belgium,Brussels,Schaerbeek,"129,853",BE,1022,1854,3204,77,
Austria,Styria,Graz,"305,323",AT,788,1685,2905,87,
Austria,Tyrol,Innsbruck,"132,471",AT,1084,1917,2998,84,
Austria,Carinthia,Klagenfurt,"105,280",AT,857,1683,2216,80,
Austria,Upper Austria,Linz,"213,574",AT,852,1760,2672,83,
Austria,Salzburg,Salzburg,"157,652",AT,1057,1904,3419,85,
Austria,Vienna,Vienna,"2,028,399",AT,1089,2132,3535,95,
Belarus,Mogilev,Babruysk,"208,611",BY,131,406,473,42,
Belarus,Brest,Baranavichy,"172,150",BY,184,517,521,41,
Belarus,Minsk,Barysaw,"136,409",BY,273,561,576,48,
Belarus,Brest,Brest,"342,461",BY,203,528,475,42,
Belarus,Gomel,Gomel,"501,802",BY,188,475,441,61,
Belarus,Grodno,Grodno,"358,717",BY,82,349,561,46,
Belarus,City of Minsk,Minsk,"1,995,471",BY,356,735,549,69,
Belarus,Mogilev,Mogilev,"353,338",BY,210,545,568,45,
Belarus,Brest,Pinsk,"124,613",BY,118,426,522,40,
Belarus,Vitebsk,Vitebsk,"359,148",BY,109,293,537,47,
Bulgaria,Burgas,Burgas,"194,993",BG,398,848,1029,73,
Bulgaria,Pleven,Pleven,"110,843",BG,264,667,966,67,
Bulgaria,Plovdiv,Plovdiv,"321,824",BG,372,836,1092,71,
Bulgaria,Ruse,Ruse,"139,226",BG,343,777,991,67,
Bulgaria,Sliven,Sliven,"111,392",BG,214,591,1380,57,
Bulgaria,Sofia City,Sofia,"1,280,334",BG,629,1244,1061,78,
Bulgaria,Stara Zagora,Stara Zagora,"142,746",BG,291,703,1228,70,
Bulgaria,Varna,Varna,"319,900",BG,479,1039,1123,76,
Albania,Tirana,Tirana,"418,495",AL,630,1294,803,72,
Albania,Durrës,Durrës,"113,249",AL,418,945,824,57,
France,Provence-Alpes-Côte d'Azur,Aix-en-Provence,"147,478",FR,966,1700,2167,84,PAC
France,Hauts-de-France,Amiens,"133,625",FR,614,1300,3716,73,HDF
France,Pays de la Loire,Angers,"157,175",FR,974,1715,3044,83,PDL
France,Auvergne-Rhône-Alpes,Annecy,"131,715",FR,919,1727,2409,82,ARA
France,Île-de-France,Argenteuil,"107,221",FR,1175,1942,3285,79,IDF
France,Bourgogne-Franche-Comté,Besançon,"119,198",FR,563,1257,2245,82,BFC
France,Nouvelle-Aquitaine,Bordeaux,"261,804",FR,845,1680,2701,86,NAQ
France,Île-de-France,Boulogne-Billancourt,"119,808",FR,1498,2281,3577,93,IDF
France,Brittany,Brest,"139,619",FR,513,1202,2533,81,BRE
France,Normandy,Caen,"108,200",FR,727,1405,2597,68,NOR
France,Auvergne-Rhône-Alpes,Clermont-Ferrand,"147,327",FR,734,1472,2649,80,ARA
France,Bourgogne-Franche-Comté,Dijon,"159,346",FR,719,1483,2282,81,BFC
France,Auvergne-Rhône-Alpes,Grenoble,"157,477",FR,771,1525,2798,86,ARA
France,Normandy,Le Havre,"166,058",FR,571,1256,2138,68,NOR
France,Hauts-de-France,Lille,"236,710",FR,837,1651,3036,85,HDF
France,Nouvelle-Aquitaine,Limoges,"129,760",FR,541,1250,2290,78,NAQ
France,Auvergne-Rhône-Alpes,Lyon,"522,250",FR,831,1693,3043,91,ARA
France,Pays de la Loire,Le Mans,"145,004",FR,588,1344,2913,68,PDL
France,Provence-Alpes-Côte d'Azur,Marseille,"873,076",FR,756,1733,2408,87,PAC
France,Grand Est,Metz,"120,874",FR,743,1526,2922,81,GES
France,Occitania,Montpellier,"302,454",FR,807,1593,2692,85,OCC
France,Île-de-France,Montreuil,"111,455",FR,1152,1957,2975,79,IDF
France,Grand Est,Mulhouse,"106,341",FR,624,1400,2232,83,GES
France,Grand Est,Nancy,"104,260",FR,684,1478,2473,79,GES
France,Pays de la Loire,Nantes,"323,204",FR,778,1574,2454,83,PDL
France,Provence-Alpes-Côte d'Azur,Nice,"348,085",FR,992,1884,2400,83,PAC
France,Occitania,Nîmes,"148,104",FR,651,1340,2387,85,OCC
France,Centre-Val de Loire,Orléans,"116,617",FR,649,1335,3342,83,CVL
France,Île-de-France,Paris,"2,133,111",FR,1497,2517,3732,97,IDF
France,Occitania,Perpignan,"119,656",FR,657,1374,2124,76,OCC
France,Grand Est,Reims,"179,380",FR,715,1486,2194,79,GES
France,Brittany,Rennes,"225,081",FR,694,1469,2779,85,BRE
France,Normandy,Rouen,"114,083",FR,623,1279,2676,85,NOR
France,Île-de-France,Saint-Denis,"113,942",FR,1156,1932,3223,78,IDF
