Country,Province,City,Pop.,ABBR,Rent,Total COL,Sal,QOL,Prov. ABBR,Lat,Long
Belgium,Brussels,Anderlecht,"125,883",BE,1033,1889,3040,76,,50.8390983,4.3296526
Belgium,Flanders,Antwerp,"542,417",BE,909,1818,2918,91,,51.2211097,4.3997081
Belgium,Flanders,Bruges,"119,748",BE,1005,1868,2486,82,,51.2085526,3.226772
Belgium,Brussels,Brussels,"195,546",BE,1133,2028,3458,91,,50.8465573,4.351697
Belgium,Wallonia,Charleroi,"203,950",BE,928,1718,2345,87,,50.4116233,4.444528
Belgium,Flanders,Ghent,"269,191",BE,953,1811,2819,87,,51.0538286,3.7250121
Belgium,Wallonia,Liège,"194,994",BE,812,1599,3134,74,,50.6450944,5.5736112
Belgium,Flemish,Leuven,"103,868",BE,1100,1867,3283,91,,50.879202,4.7011675
Belgium,Wallonia,Namur,"114,007",BE,801,1588,2322,73,,50.4665284,4.8661892
Belgium,Brussels,Schaerbeek,"129,853",BE,1022,1854,3204,77,,50.8676041,4.3737121
Austria,Styria,Graz,"305,323",AT,788,1685,2905,87,,47.0708678,15.4382786
Austria,Tyrol,Innsbruck,"132,471",AT,1084,1917,2998,84,,47.2654296,11.3927685
Austria,Carinthia,Klagenfurt,"105,280",AT,857,1683,2216,80,,46.623943,14.3075976
Austria,Upper Austria,Linz,"213,574",AT,852,1760,2672,83,,48.3059078,14.286198
Austria,Salzburg,Salzburg,"157,652",AT,1057,1904,3419,85,,47.7981346,13.0464806
Austria,Vienna,Vienna,"2,028,399",AT,1089,2132,3535,95,,48.2083537,16.3725042
Belarus,Mogilev,Babruysk,"208,611",BY,131,406,473,42,,53.1449683,29.2281209
Belarus,Brest,Baranavichy,"172,150",BY,184,517,521,41,,53.1322925,26.0184156
Belarus,Minsk,Barysaw,"136,409",BY,273,561,576,48,,54.2240665,28.5117849
Belarus,Brest,Brest,"342,461",BY,203,528,475,42,,52.093751,23.6851851
Belarus,Gomel,Gomel,"501,802",BY,188,475,441,61,,52.4238936,31.0131698
Belarus,Grodno,Grodno,"358,717",BY,82,349,561,46,,53.6834599,23.8342648
Belarus,City of Minsk,Minsk,"1,995,471",BY,356,735,549,69,,53.9024716,27.5618225
Belarus,Mogilev,Mogilev,"353,338",BY,210,545,568,45,,53.9090245,30.3429838
Belarus,Brest,Pinsk,"124,613",BY,118,426,522,40,,52.1113862,26.1025274
Belarus,Vitebsk,Vitebsk,"359,148",BY,109,293,537,47,,55.1930197,30.2070437
Bulgaria,Burgas,Burgas,"194,993",BG,398,848,1029,73,,42.4936616,27.4721276
Bulgaria,Pleven,Pleven,"110,843",BG,264,667,966,67,,43.4809895,24.6060665
Bulgaria,Plovdiv,Plovdiv,"321,824",BG,372,836,1092,71,,42.1418541,24.7499297
Bulgaria,Ruse,Ruse,"139,226",BG,343,777,991,67,,43.8480413,25.9542057
Bulgaria,Sliven,Sliven,"111,392",BG,214,591,1380,57,,42.64169,26.2634283
Bulgaria,Sofia City,Sofia,"1,280,334",BG,629,1244,1061,78,,42.6977028,23.3217359
Bulgaria,Stara Zagora,Stara Zagora,"142,746",BG,291,703,1228,70,,42.4248111,25.6257479
Bulgaria,Varna,Varna,"319,900",BG,479,1039,1123,76,,43.2073873,27.9166653
Albania,Tirana,Tirana,"418,495",AL,630,1294,803,72,,41.3281482,19.8184435
Albania,Durrës,Durrës,"113,249",AL,418,945,824,57,,41.313255,19.4462348
France,Provence-Alpes-Côte d'Azur,Aix-en-Provence,"147,478",FR,966,1700,2167,84,PAC,43.5298424,5.4474738
France,Hauts-de-France,Amiens,"133,625",FR,614,1300,3716,73,HDF,49.8941708,2.2956951
France,Pays de la Loire,Angers,"157,175",FR,974,1715,3044,83,PDL,47.4739884,-0.5515588
France,Auvergne-Rhône-Alpes,Annecy,"131,715",FR,919,1727,2409,82,ARA,45.8992348,6.1288847
France,Île-de-France,Argenteuil,"107,221",FR,1175,1942,3285,79,IDF,48.9479069,2.2481797
France,Bourgogne-Franche-Comté,Besançon,"119,198",FR,563,1257,2245,82,BFC,47.2380222,6.0243622
France,Nouvelle-Aquitaine,Bordeaux,"261,804",FR,845,1680,2701,86,NAQ,44.841225,-0.5800364
France,Île-de-France,Boulogne-Billancourt,"119,808",FR,1498,2281,3577,93,IDF,48.8356649,2.240206
France,Brittany,Brest,"139,619",FR,513,1202,2533,81,BRE,48.3905283,-4.4860088
France,Normandy,Caen,"108,200",FR,727,1405,2597,68,NOR,49.1813403,-0.3635615
France,Auvergne-Rhône-Alpes,Clermont-Ferrand,"147,327",FR,734,1472,2649,80,ARA,45.7774551,3.0819427
France,Bourgogne-Franche-Comté,Dijon,"159,346",FR,719,1483,2282,81,BFC,47.3215806,5.0414701
France,Auvergne-Rhône-Alpes,Grenoble,"157,477",FR,771,1525,2798,86,ARA,45.1875602,5.7357819
France,Normandy,Le Havre,"166,058",FR,571,1256,2138,68,NOR,49.4938975,0.1079732
France,Hauts-de-France,Lille,"236,710",FR,837,1651,3036,85,HDF,50.6365654,3.0635282
France,Nouvelle-Aquitaine,Limoges,"129,760",FR,541,1250,2290,78,NAQ,45.8354243,1.2644847
France,Auvergne-Rhône-Alpes,Lyon,"522,250",FR,831,1693,3043,91,ARA,45.7578137,4.8320114
France,Pays de la Loire,Le Mans,"145,004",FR,588,1344,2913,68,PDL,48.0073849,0.1967849
France,Provence-Alpes-Côte d'Azur,Marseille,"873,076",FR,756,1733,2408,87,PAC,43.2961743,5.3699525
France,Grand Est,Metz,"120,874",FR,743,1526,2922,81,GES,49.1196964,6.1763552
France,Occitania,Montpellier,"302,454",FR,807,1593,2692,85,OCC,43.6112422,3.8767337
France,Île-de-France,Montreuil,"111,455",FR,1152,1957,2975,79,IDF,50.4638918,1.7631125
France,Grand Est,Mulhouse,"106,341",FR,624,1400,2232,83,GES,47.7467233,7.3389937
France,Grand Est,Nancy,"104,260",FR,684,1478,2473,79,GES,48.6937223,6.1834097
France,Pays de la Loire,Nantes,"323,204",FR,778,1574,2454,83,PDL,47.2186371,-1.5541362
France,Provence-Alpes-Côte d'Azur,Nice,"348,085",FR,992,1884,2400,83,PAC,43.7009358,7.2683912
France,Occitania,Nîmes,"148,104",FR,651,1340,2387,85,OCC,43.8374249,4.3600687
France,Centre-Val de Loire,Orléans,"116,617",FR,649,1335,3342,83,CVL,47.9027336,1.9086066
France,Île-de-France,Paris,"2,133,111",FR,1497,2517,3732,97,IDF,48.8534951,2.3483915
France,Occitania,Perpignan,"119,656",FR,657,1374,2124,76,OCC,42.6985304,2.8953121
France,Grand Est,Reims,"179,380",FR,715,1486,2194,79,GES,49.2577886,4.031926
France,Brittany,Rennes,"225,081",FR,694,1469,2779,85,BRE,48.1113387,-1.6800198
France,Normandy,Rouen,"114,083",FR,623,1279,2676,85,NOR,49.4404591,1.0939658
France,Île-de-France,Saint-Denis,"113,942",FR,1156,1932,3223,78,IDF,48.935773,2.3580232
France,Auvergne-Rhône-Alpes,Saint-Étienne,"172,718",FR,560,1239,2330,86,ARA,45.4401467,4.3873058
France,Grand Est,Strasbourg,"291,313",FR,800,1620,2781,83,GES,48.584614,7.7507127
France,Provence-Alpes-Côte d'Azur,Toulon,"180,452",FR,734,1478,2210,82,PAC,43.1257311,5.9304919
France,Occitania,Toulouse,"504,078",FR,812,1657,2886,90,OCC,43.6044638,1.4442433
France,Centre-Val de Loire,Tours,"137,658",FR,558,1286,2459,67,CVL,47.3900474,0.6889268
France,Auvergne-Rhône-Alpes,Villeurbanne,"156,928",FR,830,1638,3015,76,ARA,45.7733573,4.8868454
Denmark,Capital,Copenhagen,"659,350",DK,1451,2601,4591,98,,55.6867243,12.5700724
Denmark,Central,Aarhus,"343,533",DK,1137,2088,4171,91,,56.1496278,10.2134046
Denmark,North Jutland,Aalborg,"204,901",DK,898,1866,3522,86,,57.0462626,9.9215263
Denmark,Southern,Odense,"199,682",DK,851,1805,3673,91,,55.3997225,10.3852104
Denmark,Southern,Esbjerg,"105,229",DK,786,1657,5204,89,,55.4664892,8.4520751
Denmark,Capital,Frederiksberg,"104,899",DK,1622,2617,5094,82,,55.678016,12.5326186
Finland,Uusimaa,Helsinki,"674,963",FI,972,1947,3432,96,,60.1698897,24.9384719
Finland,Uusimaa,Espoo,"314,152",FI,943,1937,3781,96,,60.2049651,24.6559808
Finland,Pirkanmaa,Tampere,"255,066",FI,673,1422,3443,73,,61.4977929,23.7616372
Finland,Uusimaa,Vantaa,"247,447",FI,974,1881,2469,79,,60.292997,25.0435254
Finland,North Ostrobothnia,Oulu,"214,651",FI,723,1660,2722,83,,65.0117869,25.4701983
Finland,Southwest Finland,Turku,"201,889",FI,706,1545,3069,87,,60.4515944,22.2669983
Finland,Central Finland,Jyväskylä,"147,821",FI,681,1500,3236,85,,62.241672,25.7495806
Finland,Northern Savonia,Kuopio,"124,011",FI,732,1524,2679,67,,62.8924641,27.6783597
Finland,Päijänne Tavastia,Lahti,"120,693",FI,781,1618,2667,84,,60.9826257,25.66137
Croatia,Grad Zagreb,Zagreb,"768,624",HR,754,1437,1950,80,,45.8130967,15.9772795
Croatia,Split-Dalmatia,Split,"159,008",HR,909,1623,1570,71,,43.5116383,16.4399659
Croatia,Primorje-Gorski Kotar,Rijeka,"106,579",HR,683,1316,1500,73,,45.3267976,14.442208
Estonia,Harju,Tallinn,"437,817",EE,807,1601,1941,87,,59.4372419,24.7572802
Germany,North Rhine-Westphalia,Aachen,"245,900",DE,872,1668,3384,90,NW,50.776351,6.083862
Germany,Bavaria,Augsburg,"286,400",DE,1093,1954,3718,90,BY,48.3690341,10.8979522
Germany,North Rhine-Westphalia,Bergisch Gladbach,"111,400",DE,963,1726,3483,81,NW,50.9929303,7.1277379
Germany,Berlin,Berlin,"3,520,000",DE,1217,2222,3412,96,BB,52.5173885,13.3951309
