Country,Province,City,Pop.,ABBR,Rent,Total COL,Sal,QOL,Prov. ABBR,Lat,Long,Snow Days/Y,Snow Fall/Y,Total Temps Ave,Summer Temps Ave,Spring Temps Ave,Winter Temps Ave,Fall Temps Ave,Highest 3 Year,Lowest 3 Year,Most Days,Sunny Days/Y,Hours Rained/Y,Winter Daylight
Belgium,Brussels,Anderlecht,"125,883",BE,1033,1889,3040,76,,50.8390983,4.3296526,14.0,18.503333333333337,12.018521897810219,18.968840579710143,11.117391304347827,5.111439114391144,12.75934065934066,17.7,-0.7,Overcast,5.333333333333333,1766.0,8.829924005740057
Belgium,Flanders,Antwerp,"542,417",BE,909,1818,2918,91,,51.2211097,4.3997081,17.0,18.456666666666667,11.929379562043795,18.856159420289856,11.048913043478262,5.128782287822879,12.567399267399267,17.3,-1.5,Overcast,5.666666666666667,1755.3333333333333,8.78566265887659
Belgium,Flanders,Bruges,"119,748",BE,1005,1868,2486,82,,51.2085526,3.226772,13.0,16.00666666666667,11.602281021897811,17.918478260869566,10.377898550724638,5.450184501845018,12.561538461538461,17.2,-3.5,Overcast,5.666666666666667,1808.0,8.78566265887659
Belgium,Brussels,Brussels,"195,546",BE,1133,2028,3458,91,,50.8465573,4.351697,14.0,18.503333333333337,11.972080291970805,18.92463768115942,11.070289855072463,5.062361623616236,12.713919413919413,17.7,-0.7,Overcast,5.333333333333333,1766.0,8.829924005740057
Belgium,Wallonia,Charleroi,"203,950",BE,928,1718,2345,87,,50.4116233,4.444528,17.0,16.916666666666668,11.44844890510949,18.418115942028983,10.495652173913042,4.552767527675276,12.21062271062271,17.2,-1.8,Overcast,6.0,1873.0,8.881990590405904
Belgium,Flanders,Ghent,"269,191",BE,953,1811,2819,87,,51.0538286,3.7250121,12.0,16.963333333333335,11.873266423357663,18.718478260869563,10.877898550724638,5.229889298892989,12.553846153846154,17.5,-2.0,Overcast,4.333333333333333,1682.6666666666667,8.803464370643706
Belgium,Wallonia,Liège,"194,994",BE,812,1599,3134,74,,50.6450944,5.5736112,21.0,31.359999999999996,11.938321167883212,19.118840579710145,11.019927536231883,4.866789667896678,12.627106227106227,17.7,-1.9,Overcast,8.666666666666666,1994.3333333333333,8.856097755227553
Belgium,Flemish,Leuven,"103,868",BE,1100,1867,3283,91,,50.879202,4.7011675,16.333333333333332,20.673333333333332,11.861770072992702,18.79891304347826,10.859782608695653,5.026937269372694,12.646153846153846,18.1,-1.3,Overcast,6.333333333333333,1692.6666666666667,8.829924005740057
Belgium,Wallonia,Namur,"114,007",BE,801,1588,2322,73,,50.4665284,4.8661892,18.666666666666668,22.143333333333334,11.665967153284672,18.584420289855075,10.722101449275362,4.769741697416974,12.471428571428572,17.9,-2.9,Overcast,7.0,1972.3333333333333,8.881990590405904
Belgium,Brussels,Schaerbeek,"129,853",BE,1022,1854,3204,77,,50.8676041,4.3737121,14.0,18.503333333333337,11.947171532846715,18.90072463768116,11.046014492753622,5.0380073800738,12.686813186813186,17.7,-0.7,Overcast,5.333333333333333,1766.0,8.829924005740057
